run_index,success,phase31_case_pass,handoff_success,stabilize_success,recovery_triggered,failsafe_triggered,finite_pass,rail_pass,force_pass,saturation_pass,handoff_time_s,final_angle_error_rad,final_velocity_norm,final_window_max_angle_error_rad,final_window_max_velocity_norm,max_abs_x_m,max_abs_u_cmd_N,max_abs_u_actual_N,saturation_fraction,failure_reason,error_message,mass_scale_cart,mass_scale_link1,mass_scale_link2,length_scale_link1,length_scale_link2,damping_scale,extra_friction_scale,actuator_tau_motor_s,actuator_rate_limit_N_per_s,noise_scale,disturbance_force_N,disturbance_start_s,disturbance_duration_s,profile
1,1,1,1,1,0,0,1,1,1,1,12,0.0338106763201122,0.368193037494438,0.0338106763201122,0.368193037494438,0.508959260810444,8.01817441732698,8.01816840254405,0,success,,0.987163229299631,1.02748633399114,1.01621877593313,1.01460610009277,0.991244963857142,0.861612671979723,0.681280351717425,0.00882366221572544,418.833180584914,1.04353468948731,0,NaN,0,standard
2,1,1,1,1,0,0,1,1,1,1,12,0.0316131490152287,0.341646781110198,0.0316131490152287,0.341646781110198,0.514669092979823,8.54655504642288,8.54234309398368,0,success,,1.0112955417997,0.996906868056873,0.996952180479495,1.01480834592663,1.00910879082486,0.96824234213902,0.728566922834852,0.0176340971243758,471.90442750147,1.20786656665951,0,NaN,0,standard
3,1,1,1,1,0,0,1,1,1,1,12,0.0335003229729764,0.113148579087857,0.0335003229729764,0.113148579087857,0.699284481883116,8.53261407279162,8.53260780837137,0,success,,1.01782014871671,1.00979413344735,0.979996866834177,1.00238625368623,0.999959409579902,1.24261621445319,0.177205691974339,0.00878580470817822,432.288008602932,1.41967751478561,0.516548783261334,7.69825405084529,0.108523918867834,standard
4,1,1,1,1,0,0,1,1,1,1,12,0.0151535251942296,0.0593852736148063,0.0151535251942296,0.0593852736148063,0.674093181533237,8.00507600812256,8.00496838800668,0,success,,1.00362351108157,1.00635267534334,1.02149518346485,1.00551201638271,0.985833052577063,1.11308533175826,0.0373781117620745,0.0116067744204037,597.839134773917,0.890889979758584,0,NaN,0,standard
5,1,1,1,1,1,0,1,1,1,1,12.1111111111111,0.0332921052687918,0.173370451797476,0.0332921052687918,0.260904634960201,0.738320292896918,8.83940809793108,8.83621414248215,0,success,,0.991345553986039,0.972073388618361,0.976782038881315,1.0027293907681,1.01214112418857,1.19864570609044,0.654746458912782,0.0166381862539133,579.286499034307,0.58842393279662,-0.440450530602458,5.45182761127554,0.0750146061710615,standard
6,0,0,1,0,0,0,1,1,1,1,12,0.0821105667181925,0.76888580155205,0.0821105667181925,0.76888580155205,0.517581606527259,8.01163399277462,8.0091264212817,0,not_stabilized_after_handoff,,0.976621318988558,1.02712564081641,1.02038962987012,1.00796816904649,0.989945424585168,0.980940008439434,0.0032125116516438,0.0167842933652106,606.011537508566,1.22566826750057,0,NaN,0,standard
7,1,1,1,1,0,0,1,1,1,1,12,0.0280188268066226,0.340829016102139,0.0280188268066226,0.340829016102139,0.557421601775889,8.24934808660884,8.24825535874619,0,success,,0.982961143969891,0.998223485355491,0.993497414255204,1.00127355217869,1.00388320495619,0.814417739621968,0.036437584160006,0.0145462495357825,415.949682292944,1.4042005295946,0,NaN,0,standard
8,0,0,1,0,0,0,1,1,1,1,12,0.0673173656496044,0.533333958479046,0.0673173656496044,0.533333958479046,0.64818115311843,8.06303347168003,8.06282634884091,0,not_stabilized_after_handoff,,0.998025656139701,1.00916321368751,1.00832290603557,0.993388051883893,0.991678020326342,0.910637317512082,0.348207429110291,0.0123412770084437,475.039410505765,1.15004294380716,0.326254136534928,6.08677645853586,0.123767966094201,standard
9,1,1,1,1,0,0,1,1,1,1,12,0.0276018608971462,0.184120219161688,0.0276018608971462,0.184120219161688,0.502820708552961,8.5495889928899,8.54935889402056,0,success,,0.985628677422951,0.990832678740069,0.993601081018711,1.00047892718155,1.01497788629024,0.847179961452711,0.682499139375152,0.0119741871010382,502.412382059974,0.960916251977807,0,NaN,0,standard
10,1,1,1,1,0,0,1,1,1,1,12,0.0149119282629111,0.128862150574652,0.0149119282629111,0.128862150574652,0.519084497845905,8.50367892037121,8.50311925355938,0,success,,0.973219022185585,1.02370375798641,1.00576621314113,0.998215942759917,1.01249558526144,0.834830211905531,0.451716848902107,0.0132240269135086,469.647115377169,0.504437396210268,0,NaN,0,standard
11,1,1,1,1,0,0,1,1,1,1,12,0.0283390723752697,0.202163651630748,0.0283390723752697,0.202163651630748,0.579960761978916,8.51113317015489,8.51053171738937,0,success,,0.978954846901516,0.987577750724615,1.01742507192712,1.01371010008127,1.00726095836164,1.22269825447222,0.22556216500848,0.0134753346758903,559.740835761306,1.17905091498731,0,NaN,0,standard
12,1,1,1,1,0,0,1,1,1,1,12,0.00688815108708152,0.103703227259437,0.00688815108708152,0.140582281078945,0.512024595690067,7.91490990465988,7.91447352517723,0,success,,1.0139686400654,0.972088136637867,0.986509547623181,1.01378027053953,0.987501699745841,0.814151850797273,0.549294915605373,0.013566824005969,546.517250137143,1.48047794965872,0,NaN,0,standard
13,0,0,1,0,0,0,1,1,1,1,12,0.394895688907304,2.98081980551006,0.394895688907304,2.98081980551006,0.751837623980336,8.4194961724031,8.41484383233951,0,not_stabilized_after_handoff,,1.00433893662543,0.987915528744156,1.00654921816808,0.998682133267133,1.00015425852453,1.03518948693556,0.695646284463739,0.0182587275202956,549.321191385987,1.20419980530226,0,NaN,0,standard
14,0,0,0,0,1,1,1,1,1,1,NaN,2.48273441532002,15.6600319746476,2.98332353017822,26.3432593315523,1.74335452664043,15,14.9999999971542,0.0353982300884956,failsafe_triggered,,0.996415851926521,0.99277994351799,0.994599355238381,0.993722358860025,1.00306914501174,0.83542857949657,0.159523461757444,0.0195965438602457,597.967065413127,0.73675602356264,0,NaN,0,standard
15,1,1,1,1,0,0,1,1,1,1,12,0.00504855790311343,0.0282450194122756,0.00620226013172864,0.0346080950458564,0.532455558321946,8.28015372883038,8.27797914873601,0,success,,1.00887398169487,0.991222897656249,0.980597400302615,1.00482803811719,1.00417288798712,0.851442179312419,0.260066800308451,0.0161356155807774,543.225590357331,0.783801787732449,0,NaN,0,standard
16,0,0,1,0,0,0,1,1,1,1,12,0.0602672231474446,0.520203345432069,0.0602672231474446,0.520203345432069,0.661567298801496,8.23656656811985,8.23656407823299,0,not_stabilized_after_handoff,,1.02077064121718,1.00519966342526,0.976321074090037,1.01418200262385,0.990417862486479,1.15036916715251,0.424459079468883,0.0082999187636369,513.380411201753,1.33858970195682,0.231454698029316,8.03167781764292,0.0854042224216927,standard
17,1,1,1,1,0,0,1,1,1,1,12,0.0106772921917129,0.0451612139730555,0.0106772921917129,0.0451612139730555,0.619443225333127,8.6829946425616,8.68288278391475,0,success,,1.0239225370904,1.0200329996423,1.02979873538741,1.00765852959929,1.00866528342552,1.10541552214263,0.530668255767516,0.0111757246473888,469.485929633038,1.26280843252714,0,NaN,0,standard
18,1,1,1,1,0,0,1,1,1,1,12,0.0395130146766283,0.261212790968865,0.0395130146766283,0.261212790968865,0.7392816113136,8.64248107064523,8.63807813304191,0,success,,0.994872308997958,1.02384807996456,1.01591128520769,0.985179337293045,1.00605740750752,1.09458178100036,0.402778086913654,0.0177878340508973,574.62386761912,0.639912234883454,0,NaN,0,standard
19,0,0,0,0,1,0,1,1,1,1,NaN,0.080163555816704,4.88068393484071,0.193429551344374,4.88068393484071,0.619596142965136,15,14.9997819930951,0.0265486725663717,tracking_not_in_handoff_gate,,0.972334715999548,0.972078746975389,1.01573085117537,1.00778822864421,1.01056802044231,0.855044802976844,0.132255113826491,0.0197365061673326,517.763869652685,0.537937304818015,0,NaN,0,standard
20,1,1,1,1,0,0,1,1,1,1,12,0.0226783805806581,0.328498429645486,0.0226783805806581,0.328498429645486,0.514747728858153,8.61766652364357,8.61396255239784,0,success,,1.01591650929478,0.999697190860479,1.00167424790119,1.00715279356194,1.01164835261694,0.920277149835465,0.603642543558625,0.0171137476093374,474.373352928292,0.956903406828839,-0.126620505385409,5.61189686911497,0.118022132354018,standard
21,1,1,1,1,0,0,1,1,1,1,12,0.0087826653322951,0.104805798279523,0.0087826653322951,0.119649178160373,0.509960678828404,8.78908399488009,8.78904688838326,0,success,,1.00652881769721,1.01709597875021,0.982587604843251,1.00893266682326,1.014717726182,1.08823961853292,0.474666227458056,0.00998158864019,648.227770867289,1.2562831971003,0,NaN,0,standard
