case_index,case_type,target,event_name,link_id,contact_ratio,direction,force_N,success,recovery_time_s,saturation_fraction,fail_reason,final_angle_error_rad,final_velocity_norm,max_abs_x_m,max_abs_u_cmd_N,planner_selected_variant,trajectory_file,animation_available,animation_status
1,target_recovery,up_up,link1_ratio0.25_right_1N,1,0.25,right,1,1,1.11022302462516e-16,0.0,PASS,2.00203240688021e-06,2.69777670518643e-05,0.221366627892923,4.55855920406899,local_lqr,,0,metrics_only
2,target_recovery,up_up,link1_ratio0.25_left_1N,1,0.25,left,1,1,1.11022302462516e-16,0.0,PASS,2.17056518297767e-06,2.85341796068912e-05,0.240300333340396,4.59243880237331,local_lqr,,0,metrics_only
3,target_recovery,up_up,link1_ratio0.50_right_1N,1,0.5,right,1,1,0.45,0.0011104941699056,PASS,4.23752181253183e-06,5.71311173414757e-05,0.46855498294838,15.0,local_lqr,,0,metrics_only
4,target_recovery,up_up,link1_ratio0.50_left_1N,1,0.5,left,1,1,0.44,0.0011104941699056,PASS,4.39383774804459e-06,5.85001039735124e-05,0.48605738250021,15.0,local_lqr,,0,metrics_only
5,target_recovery,up_up,link1_ratio0.75_right_1N,1,0.75,right,1,1,3.34,0.002776235424764,PASS,8.49160802795126e-06,1.19835848078632e-05,1.54121858731949,15.0,traj_cart_safe,,0,metrics_only
6,target_recovery,up_up,link1_ratio0.75_left_1N,1,0.75,left,1,1,3.31,0.002776235424764,PASS,8.04894165226117e-06,1.02790630075294e-05,1.5658260282451,15.0,traj_cart_safe,,0,metrics_only
7,target_recovery,up_up,link1_ratio1.00_right_1N,1,1.0,right,1,0,,0.147327249022164,FINAL_STATE_OUTSIDE_RECOVERY_GATE|CART_RAIL_LIMIT_EXCEEDED|NO_SETTLED_RECOVERY_WINDOW,1.71516664317896,6.3118400460478,1.95702086050349,15.0,lib_target_upup_l1_r100_right_ratekill,,0,metrics_only
8,target_recovery,up_up,link1_ratio1.00_left_1N,1,1.0,left,1,0,,0.086484137331595,FINAL_STATE_OUTSIDE_RECOVERY_GATE|NO_SETTLED_RECOVERY_WINDOW,3.18032081218138,6.84451790315831,1.85849994193799,15.0,terminal_upup_l2_high_contact,,0,metrics_only
9,target_recovery,up_up,link2_ratio0.25_right_1N,2,0.25,right,1,1,0.84,0.0,PASS,6.08721814900469e-06,1.68162561873952e-05,0.756909344069697,9.30178787818427,traj_cart_safe,,0,metrics_only
10,target_recovery,up_up,link2_ratio0.25_left_1N,2,0.25,left,1,1,0.82,0.0,PASS,6.08810968612242e-06,1.66802205956242e-05,0.762133093902176,9.33728998936329,traj_cart_safe,,0,metrics_only
